domain,condition,description,RR@10,nDCG@10,R@100,R@1000
biomedical,dense_only,"Dense retrieval only, no BM25, no reranking",0.06653275345225809,0.04059514966902219,0.035022505872236785,0.035022505872236785
biomedical,bm25_only,"BM25 only, no dense, no reranking",0.06517765000737136,0.03516229824604469,0.022117792667847084,0.022117792667847084
biomedical,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.07033269448130128,0.026235796837421107,0.038014761495109434,0.038014761495109434
biomedical,routing_broadcast,Query all domain indexes (broadcast),0.05327288810260946,0.024007392156832008,0.026398007992223086,0.026398007992223086
biomedical,routing_routed_general,Routed to top-1 domain + general fallback,0.06245638606319721,0.03115637216694517,0.038014761495109434,0.038014761495109434
biomedical,routing_routed_only,Routed to top-1 domain only (no general fallback),0.08783478303602141,0.051418558285534155,0.04306522593070795,0.04306522593070795
