domain,condition,description,RR@10,nDCG@10,R@100,R@1000
scidocs,dense_only,"Dense retrieval only, no BM25, no reranking",0.009577777777777777,0.005585447688876865,0.02218333333333333,0.02218333333333333
scidocs,bm25_only,"BM25 only, no dense, no reranking",0.006815079365079366,0.004258541419438011,0.014499999999999999,0.014499999999999999
scidocs,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.005541666666666667,0.0051273432232809895,0.02068333333333333,0.02068333333333333
scidocs,routing_broadcast,Query all domain indexes (broadcast),0.012576190476190475,0.005514742541446276,0.0132,0.0132
scidocs,routing_routed_general,Routed to top-1 domain + general fallback,0.013901190476190475,0.008080188664443601,0.02068333333333333,0.02068333333333333
scidocs,routing_routed_only,Routed to top-1 domain only (no general fallback),0.014485714285714286,0.008746215663037253,0.025733333333333334,0.025733333333333334
