domain,condition,description,RR@10,nDCG@10,R@100,R@1000
finance,dense_only,"Dense retrieval only, no BM25, no reranking",0.018119243582206547,0.01546093590111971,0.046139996834441276,0.046139996834441276
finance,bm25_only,"BM25 only, no dense, no reranking",0.010686116010190084,0.008661001631122319,0.023786912675801568,0.023786912675801568
finance,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.017808152067411324,0.010315200660875757,0.040090953285397725,0.040090953285397725
finance,routing_broadcast,Query all domain indexes (broadcast),0.025514403292181066,0.01988029677487659,0.029087103739881517,0.029087103739881517
finance,routing_routed_general,Routed to top-1 domain + general fallback,0.027100480109739367,0.021287781572316478,0.040090953285397725,0.040090953285397725
finance,routing_routed_only,Routed to top-1 domain only (no general fallback),0.02882556829316088,0.022662852069300715,0.049859528331750544,0.049859528331750544
