domain,condition,description,RR@10,nDCG@10,R@100,R@1000
science,dense_only,"Dense retrieval only, no BM25, no reranking",0.07284259259259257,0.09044093708542203,0.16,0.16
science,bm25_only,"BM25 only, no dense, no reranking",0.07136507936507935,0.08000260555715547,0.13611111111111113,0.13611111111111113
science,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.047499999999999994,0.09394514443484461,0.15666666666666668,0.15666666666666668
science,routing_broadcast,Query all domain indexes (broadcast),0.10138888888888889,0.10671174241152331,0.15388888888888888,0.15388888888888888
science,routing_routed_general,Routed to top-1 domain + general fallback,0.11944444444444442,0.12403047635543843,0.15666666666666668,0.15666666666666668
science,routing_routed_only,Routed to top-1 domain only (no general fallback),0.12531349206349204,0.1290374238313803,0.16,0.16
