domain,condition,description,RR@10,nDCG@10,R@100,R@1000
medical,dense_only,"Dense retrieval only, no BM25, no reranking",0.845,0.7007394786036117,0.08276305299008536,0.08276305299008536
medical,bm25_only,"BM25 only, no dense, no reranking",0.6413333333333333,0.3861188441492014,0.03818178037889579,0.03818178037889579
medical,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.415,0.3754883133371424,0.07153078625083102,0.07153078625083102
medical,routing_broadcast,Query all domain indexes (broadcast),0.9206666666666666,0.6099558011162898,0.03053365515959627,0.03053365515959627
medical,routing_routed_general,Routed to top-1 domain + general fallback,0.8166666666666668,0.731266032118881,0.07153078625083102,0.07153078625083102
medical,routing_routed_only,Routed to top-1 domain only (no general fallback),0.8233333333333333,0.744626121205759,0.12105548732025234,0.12105548732025234
