domain,condition,description,R@100,R@1000,nDCG@10,RR@10
medical,dense_only,"Dense retrieval only, no BM25, no reranking",0.009460379646436626,0.009460379646436626,0.0684077683508256,0.0831904761904762
medical,bm25_only,"BM25 only, no dense, no reranking",0.014685173012376453,0.014685173012376453,0.155022715885352,0.23
medical,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.014963995540743246,0.014963995540743246,0.10820254520588835,0.125
medical,routing_broadcast,Query all domain indexes (broadcast),0.017398875023808116,0.017398875023808116,0.09036230564294363,0.15799999999999997
medical,routing_routed_general,Routed to top-1 domain + general fallback,0.014963995540743246,0.014963995540743246,0.10820254520588835,0.125
medical,routing_routed_only,Routed to top-1 domain only (no general fallback),0.02248995203373375,0.02248995203373375,0.15475268026213349,0.23
