domain,condition,description,R@100,R@1000,nDCG@10,RR@10
biomedical,dense_only,"Dense retrieval only, no BM25, no reranking",0.0107999686173845,0.0107999686173845,0.007768154046808109,0.02321981424148607
biomedical,bm25_only,"BM25 only, no dense, no reranking",0.021891257894759417,0.021891257894759417,0.03477273877960314,0.06455845496093174
biomedical,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.026497367523924942,0.026497367523924942,0.018652991647389313,0.05490196078431373
biomedical,routing_broadcast,Query all domain indexes (broadcast),0.017623341059256593,0.017623341059256593,0.003809703801171084,0.048208757187085345
biomedical,routing_routed_general,Routed to top-1 domain + general fallback,0.026497367523924942,0.026497367523924942,0.018652991647389313,0.05490196078431373
biomedical,routing_routed_only,Routed to top-1 domain only (no general fallback),0.03370074789876862,0.03370074789876862,0.03479553270611446,0.06271438399921371
