domain,condition,description,R@100,R@1000,nDCG@10,RR@10
finance,dense_only,"Dense retrieval only, no BM25, no reranking",0.04660295979740424,0.04660295979740424,0.01593404330294491,0.018633646874387615
finance,bm25_only,"BM25 only, no dense, no reranking",0.02455851761407317,0.02455851761407317,0.009257996704015128,0.011457720948461689
finance,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.04086255822366933,0.04086255822366933,0.01091219573376857,0.019351361943954537
finance,routing_broadcast,Query all domain indexes (broadcast),0.029087103739881517,0.029087103739881517,0.0033521235925957145,0.008294753086419753
finance,routing_routed_general,Routed to top-1 domain + general fallback,0.04086255822366933,0.04086255822366933,0.01091219573376857,0.019351361943954537
finance,routing_routed_only,Routed to top-1 domain only (no general fallback),0.050322491294713514,0.050322491294713514,0.018556977751358845,0.022573118753674307
