domain,condition,description,R@100,R@1000,nDCG@10,RR@10
scidocs,dense_only,"Dense retrieval only, no BM25, no reranking",0.001,0.001,0.0003391602052736161,0.0005
scidocs,bm25_only,"BM25 only, no dense, no reranking",0.004050000000000001,0.004050000000000001,0.0008644322846480638,0.0015833333333333333
scidocs,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.0034500000000000004,0.0034500000000000004,0.0005268919836648939,0.0004861111111111111
scidocs,routing_broadcast,Query all domain indexes (broadcast),0.008000000000000002,0.008000000000000002,0.0008559450589381102,0.0004
scidocs,routing_routed_general,Routed to top-1 domain + general fallback,0.0034500000000000004,0.0034500000000000004,0.0005268919836648939,0.0004861111111111111
scidocs,routing_routed_only,Routed to top-1 domain only (no general fallback),0.0046500000000000005,0.0046500000000000005,0.0008507335444639554,0.0009583333333333333
