domain,condition,description,R@100,R@1000,nDCG@10,RR@10
general,dense_only,"Dense retrieval only, no BM25, no reranking",0.006876790830945559,0.006876790830945559,0.005365141779856122,0.0049995451857916045
general,bm25_only,"BM25 only, no dense, no reranking",0.0063992359121298956,0.0063992359121298956,0.003501244340486566,0.003295526902260427
general,hybrid_no_rerank,"Dense + BM25 hybrid (RRF), no reranking",0.007020057306590258,0.007020057306590258,0.005211818332905471,0.004564003729476508
general,routing_broadcast,Query all domain indexes (broadcast),0.006733524355300859,0.006733524355300859,0.0020466247634043206,0.0015281757402101244
general,routing_routed_general,Routed to top-1 domain + general fallback,0.007020057306590258,0.007020057306590258,0.005211818332905471,0.004564003729476508
general,routing_routed_only,Routed to top-1 domain only (no general fallback),0.006160458452722063,0.006160458452722063,0.004436622046041506,0.004170020921453585
